,price,rooms,address
0,"$1,605 - 2,495",1-2 Beds,"230 Broadway, Sacramento, CA 95818"
0,"$1,299 - 2,120",Studio - 2 Beds,"321 Bercut Dr, Sacramento, CA 95811"
0,"$2,054 - 3,484",Studio - 2 Beds,"1900 3rd St, Sacramento, CA 95811"
0,"$1,799 - 2,521",1-3 Beds,"4850 Natomas Blvd, Sacramento, CA 95835"
0,"$1,595 - 2,375",1-3 Beds,"1481 Exposition Blvd, Sacramento, CA 95815"
0,"$1,745 - 2,045",1-2 Beds,"9750 Old Placerville Rd, Sacramento, CA 95827"
0,"$1,996 - 2,845",1-3 Beds,"230 Cadillac Dr, Sacramento, CA 95825"
0,"$1,597 - 11,914",1-3 Beds,"200 Bicentennial Cir, Sacramento, CA 95826"
0,"$1,920 - 3,355",Studio - 2 Beds,"1010 11th St, Sacramento, CA 95814"
0,"$1,400 - 2,100",Studio - 2 Beds,"4337 Norwood Ave, Sacramento, CA 95838"
0,"$1,099 - 2,555",Studio - 4 Beds,"1100 Howe Ave, Sacramento, CA 95825"
0,"$1,400 - 4,500",Studio - 3 Beds,"1500 7th St, Sacramento, CA 95814"
0,"$1,575 - 4,280",Studio - 3 Beds,"6400 Folsom Blvd, Sacramento, CA 95819"
0,"$1,716 - 6,854",Studio - 3 Beds,"1714 21st St, Sacramento, CA 95811"
0,"$1,820 - 2,985",Studio - 2 Beds,"3701 E Commerce Way, Sacramento, CA 95834"
0,"$1,781 - 7,622",Studio - 3 Beds,"1517 H St, Sacramento, CA 95814"
0,"$1,980 - 3,985",Studio - 2 Beds,"1108 S St, Sacramento, CA 95811"
0,"$1,401 - 2,997",Studio - 2 Beds,"728 16th St, Sacramento, CA 95814"
0,"$2,000 - 3,215",1-3 Beds,"7600 Klotz Ranch Ct, Sacramento, CA 95831"
0,"$2,299 - 3,750",1-3 Beds,"2490 Quiet Trail Ln, Sacramento, CA 95834"
0,"$1,399 - 2,400",Studio - 2 Beds,"1901 8th St, Sacramento, CA 95811"
0,"$2,715 - 4,145",1-2 Beds,"1606 P St, Sacramento, CA 95814"
0,"$1,550 - 3,350",Studio - 1 Bed,"1827 J St, Sacramento, CA 95811"
0,"$1,625 - 2,199",1-2 Beds,"132 Fountain Oaks Cir, Sacramento, CA 95831"
0,"$1,899 - 1,950",1-2 Beds,"2059 Royal Oaks Dr, Sacramento, CA 95815"
0,"$1,200 - 2,250",1-3 Beds,"7901 La Riviera Dr, Sacramento, CA 95826"
0,"$1,746 - 6,968",Studio - 3 Beds,"1801 L St, Sacramento, CA 95811"
0,"$1,295 - 1,995",1-2 Beds,"2929 Routier Rd, Sacramento, CA 95827"
0,"$1,606 - 2,029",1-2 Beds,"2025 W El Camino Ave, Sacramento, CA 95833"
0,"$1,560 - 1,855",1-2 Beds,"7200 Pepperwood Knoll Ln, Sacramento, CA 95842"
0,"$1,650 - 1,875",1-2 Beds,"5109 Andrea Blvd, Sacramento, CA 95842"
0,"$1,899 - 3,018",1-2 Beds,"3351 Duckhorn Dr, Sacramento, CA 95834"
0,"$1,975 - 2,345",1-2 Beds,"1 Shoal Ct, Sacramento, CA 95831"
0,"$1,874 - 3,790",Studio - 2 Beds,"3111 S St, Sacramento, CA 95816"
0,"$1,900 - 2,800",1-3 Beds,"3301 Arena Blvd, Sacramento, CA 95834"
0,"$1,695 - 2,300",1-4 Beds,"9190 Blue Point Ln, Sacramento, CA 95826"
0,Call for Rent,Studio - 2 Beds,"5601 Natomas Blvd, Sacramento, CA 95835"
0,"$2,051 - 3,716",Studio - 2 Beds,"1127 15th St, Sacramento, CA 95814"
0,"$1,356 - 2,121",Studio - 2 Beds,"817 Fulton Ave, Sacramento, CA 95825"
0,"$2,001 - 2,937",1-3 Beds,"4800 Kokomo Dr, Sacramento, CA 95835"
