,price,rooms,address
0,"$2,010 - 2,768",Studio - 1 Bed,"1777 Columbia Rd NW, Washington, DC 20009"
0,"$2,743 - 11,702",1-2 Beds,"4000 Wisconsin Ave NW, Washington, DC 20016"
0,"$1,885 - 5,255",Studio - 3 Beds,"1150 1st St NE, Washington, DC 20002"
0,"$1,712 - 7,048",Studio - 2 Beds,"1701 H St NE, Washington, DC 20002"
0,"$1,694 - 6,280",Studio - 3 Beds,"1319 S Capitol St SW, Washington, DC 20003"
0,"$2,399 - 10,625",1-3 Beds,"1280 Union St NE, Washington, DC 20002"
0,"$2,500 - 3,995",1 Bed,"1417 Belmont St NW, Washington, DC 20009"
0,"$1,967 - 6,752",Studio - 3 Beds,"1240 3rd St NE, Washington, DC 20002"
0,"$1,229 - 1,676",1 Bed,"1155 Dahlia St NW, Washington, DC 20012"
0,"$2,240 - 5,620",Studio - 3 Beds,"733 15th St NW, Washington, DC 20005"
0,"$1,883 - 1,936",1-2 Beds,"1400 Florida Ave NE, Washington, DC 20002"
0,"$1,515 - 3,000",Studio - 2 Beds,"4000 Massachusetts Ave NW, Washington, DC 20016"
0,"$1,752 - 3,465",Studio - 2 Beds,"2 M St NE, Washington, DC 20002"
0,"$1,511 - 4,198",Studio - 2 Beds,"4201 Massachusetts Ave NW, Washington, DC 20016"
0,"$1,535 - 10,588",Studio - 3 Beds,"1401 New York Ave NE, Washington, DC 20002"
0,"$1,595 - 3,825",Studio - 2 Beds,"1400 Irving St NW, Washington, DC 20010"
0,"$1,970 - 6,653",Studio - 3 Beds,"150 I St SE, Washington, DC 20003"
0,"$1,848 - 3,048",Studio - 3 Beds,"6800 Georgia Ave NW, Washington, DC 20012"
0,"$1,566 - 3,708",Studio - 2 Beds,"2607 Reed St NE, Washington, DC 20018"
0,"$2,382 - 5,349",1-3 Beds,"440 Penn St NE, Washington, DC 20002"
0,"$2,801 - 9,980",Studio - 3 Beds,"20 Ridge Square NW, Washington, DC 20016"
0,"$1,743 - 6,950",1-3 Beds,"1320 4th St NE, Washington, DC 20002"
0,"$1,747 - 11,939",Studio - 3 Beds,"853 New Jersey Ave SE, Washington, DC 20003"
0,"$1,654 - 7,788",Studio - 4 Beds,"44 Banner Ln, Washington, DC 20001"
0,"$2,231 - 15,083",Studio - 3 Beds,"8525 Chevy Chase Lake Ter, Chevy Chase, MD 20815"
0,"$1,969 - 3,439",Studio - 2 Beds,"8200 Dixon Ave, Silver Spring, MD 20910"
0,"$1,900 - 2,627",1-3 Beds,"4800 Addison Rd, Capitol Heights, MD 20743"
0,"$2,055 - 12,500",Studio - 3 Beds,"2055 15th St N, Arlington, VA 22201"
0,"$1,500 - 3,956",Studio - 3 Beds,"1401 Blair Mill Rd, Silver Spring, MD 20910"
0,"$1,525 - 2,625",Studio - 2 Beds,"8750 Georgia Ave, Silver Spring, MD 20910"
0,"$1,913 - 5,146",Studio - 3 Beds,"1600 S Eads St, Arlington, VA 22202"
0,"$1,261 - 1,800",Studio - 2 Beds,"5443 16th Ave, Hyattsville, MD 20782"
0,"$1,400 - 1,950",1-2 Beds,"3601 Gallatin St, Hyattsville, MD 20782"
0,"$2,080 - 4,578",Studio - 3 Beds,"180 High Park Ln, Silver Spring, MD 20910"
0,"$2,640 - 4,099",1-2 Beds,"1550 N Clarendon Blvd, Arlington, VA 22209"
0,"$1,958 - 3,401",Studio - 2 Beds,"1221-1331 S Eads St, Arlington, VA 22202"
0,"$1,325 - 1,875",1-3 Beds,"5400 Livingston Rd, Oxon Hill, MD 20745"
0,"$1,860 - 4,872",Studio - 2 Beds,"7 M St NE, Washington, DC 20002"
0,"$1,745 - 2,844",Studio - 1 Bed,"7 New York Ave NE, Washington, DC 20002"
0,"$2,015 - 4,885",Studio - 2 Beds,"2131 9th St NW, Washington, DC 20001"
