,price,rooms,address
0,"$2,495",1 Bed,"20700-20702 El Toro Rd, Lake Forest, CA 92630"
0,"$2,324 - 3,862",Studio - 3 Beds,"28601 Los Alisos Blvd, Mission Viejo, CA 92692"
0,"$2,350 - 2,400",1 Bed,"23842 Alicia Pky, Mission Viejo, CA 92691"
0,"$2,606 - 7,505",1-2 Beds,"24391 Avenida de la Carlota, Laguna Hills, CA 92653"
0,"$2,421 - 3,969",1-2 Beds,"25421 Alta Loma, Lake Forest, CA 92630"
0,"$2,375 - 2,975",1-2 Beds,"23251 Los Alisos Blvd, Lake Forest, CA 92630"
0,"$2,723 - 3,535",Studio - 3 Beds,"1000 Lupine, Lake Forest, CA 92630"
0,"$2,876 - 6,821",1-3 Beds,"26371 Paloma, Foothill Ranch, CA 92610"
0,"$2,750 - 3,800",1-3 Beds,"28401 Los Alisos Blvd, Mission Viejo, CA 92692"
0,"$2,124 - 3,351",Studio - 2 Beds,"25162 Charlinda Dr, Mission Viejo, CA 92691"
0,"$2,349 - 3,588",1-2 Beds,"21622 Marguerite Pky, Mission Viejo, CA 92692"
0,"$2,421 - 3,183",1-3 Beds,"26322 Towne Centre Dr, Foothill Ranch, CA 92610"
0,"$1,900 - 2,500",Studio - 1 Bed,"24552 Paseo de Valencia, Laguna Hills, CA 92653"
0,"$2,229 - 3,685",1-3 Beds,"23151 Los Alisos Blvd, Mission Viejo, CA 92691"
0,"$2,350 - 2,875",1-2 Beds,"20041 Osterman Rd, Lake Forest, CA 92630"
0,"$2,480 - 3,505",1-2 Beds,"26356 Vintage Woods Rd, Lake Forest, CA 92630"
0,"$2,095 - 3,160",Studio - 2 Beds,"26571 Normandale Dr, Lake Forest, CA 92630"
0,"$2,875 - 3,345",2-3 Beds,"21011 Osterman Rd, Lake Forest, CA 92630"
0,"$2,598 - 3,958",1-3 Beds,"21022 Los Alisos Blvd, Rancho Santa Margarita, CA 92688"
0,"$3,321 - 3,876",2 Beds,"24299 Paseo de Valencia, Laguna Woods, CA 92637"
