,price,rooms,address
0,"$1,190 - 2,202",1-4 Beds,"3543 Tates Creek Rd, Lexington, KY 40517"
0,"$1,167 - 2,723",1-3 Beds,"3170 Mapleleaf Dr, Lexington, KY 40509"
0,$849 - 999,1-2 Beds,"2504 Larkin Rd, Lexington, KY 40503"
0,"$1,055 - 1,200",1-2 Beds,"3500 Beaver Place Rd, Lexington, KY 40503"
0,"$574 - 2,975",1-6 Beds,"201-203 Simpson Ave, Lexington, KY 40504"
0,"$850 - 1,225",Studio - 2 Beds,"1555 Eastland Pky, Lexington, KY 40505"
0,"$989 - 1,529",1-2 Beds,"2020 Armstrong Mill Rd, Lexington, KY 40515"
0,"$1,075 - 1,725",1-2 Beds,"3650 Tates Creek Rd, Lexington, KY 40517"
0,"$1,006 - 3,673",1-2 Beds,"3751 Appian Way, Lexington, KY 40517"
0,"$1,361 - 2,964",1-3 Beds,"2785 Polo Club Blvd, Lexington, KY 40509"
0,"$1,200 - 1,500",1-2 Beds,"2700 Magnolia Springs Dr, Lexington, KY 40511"
0,"$1,145 - 1,845",Studio,"180 N Martin Luther King Blvd, Lexington, KY 40507"
0,"$1,285",3 Beds,"750 Ward Dr, Lexington, KY 40511"
0,"$1,196 - 1,942",1-3 Beds,"2880 Summerfield Dr, Lexington, KY 40511"
0,"$1,240 - 2,100",1-3 Beds,"270 Lancer Dr, Nicholasville, KY 40356"
0,"$1,313 - 4,268",1-3 Beds,"4390 Clearwater Way, Lexington, KY 40515"
0,"$985 - 1,175",1-2 Beds,"2845 Palumbo Dr, Lexington, KY 40509"
0,"$982 - 1,812",1-2 Beds,"251 Chippendale Cir, Lexington, KY 40517"
0,$960,1 Bed,"3300 Montavesta Rd, Lexington, KY 40502"
0,"$1,149 - 1,629",1-3 Beds,"1101 Beaumont Centre Ln, Lexington, KY 40513"
0,"$948 - 1,615",1-2 Beds,"385 Redding Rd, Lexington, KY 40517"
0,$915 - 995,1-2 Beds,"2070 Garden Springs Dr, Lexington, KY 40504"
0,"$829 - 1,339",1-4 Beds,"497 S Angliana Ave, Lexington, KY 40508"
0,"$1,120 - 2,150",Studio - 2 Beds,"120 E Main St, Lexington, KY 40507"
0,"$825 - 1,150",1-2 Beds,"3351 Cove Lake Dr, Lexington, KY 40515"
0,"$1,299 - 1,699",1-3 Beds,"495 Laketower Dr, Lexington, KY 40502"
0,$795 - 965,Studio - 1 Bed,"1435 Nicholasville Rd, Lexington, KY 40503"
0,"$1,140 - 1,735",1-3 Beds,"3655 Rabbits Foot Trl, Lexington, KY 40503"
0,$995,1 Bed,"1232 Man O War Pl, Lexington, KY 40504"
0,"$755 - 1,395",Studio - 2 Beds,"2160 Fontaine Rd, Lexington, KY 40502"
0,"$999 - 1,369",1-2 Beds,"3200 Loch Ness Dr, Lexington, KY 40517"
0,"$849 - 1,249",1-3 Beds,"249 E Reynolds Rd, Lexington, KY 40517"
0,"$930 - 1,765",Studio - 2 Beds,"3050 Kirklevington Dr, Lexington, KY 40517"
0,"$1,187 - 2,014",1-3 Beds,"840 Hays Blvd, Lexington, KY 40509"
