,price,rooms,address
0,"$1,550 - 7,210",Studio - 3 Beds,"645 Division St, Nashville, TN 37203"
0,"$1,826 - 4,167",Studio - 2 Beds,"801 12th Ave S, Nashville, TN 37203"
0,"$1,331 - 3,009",Studio - 3 Beds,"7114 Charlotte Pike, Nashville, TN 37209"
0,"$1,281 - 3,637",Studio - 2 Beds,"2301 Lebanon Pike, Nashville, TN 37214"
0,"$1,616 - 3,282",Studio - 2 Beds,"115 Great Circle Rd, Nashville, TN 37228"
0,"$1,325 - 2,670",1-2 Beds,"1801 Meridian St, Nashville, TN 37207"
0,"$1,265 - 2,050",Studio - 2 Beds,"4040 Travis Dr, Nashville, TN 37211"
0,"$1,668 - 4,010",Studio - 2 Beds,"640 21st Ave N, Nashville, TN 37203"
0,"$1,400 - 3,024",Studio - 2 Beds,"800 16th Ave N, Nashville, TN 37203"
0,"$1,805 - 4,445",Studio - 2 Beds,"1010 Church st, Nashville, TN 37203"
0,"$1,613 - 3,850",Studio - 2 Beds,"601 Press Pl, Nashville, TN 37208"
0,"$1,870 - 4,195",Studio - 2 Beds,"620 8th Ave S, Nashville, TN 37203"
0,"$1,376 - 4,615",Studio - 3 Beds,"2606 Fessey Park Rd, Nashville, TN 37204"
0,"$1,545 - 2,860",Studio - 3 Beds,"200 Hillside Cottage Ln #126, Nashville, TN 37207"
0,"$1,413 - 3,861",Studio - 3 Beds,"901 Cherokee Ave, Nashville, TN 37207"
0,"$1,660 - 2,925",1-3 Beds,"4000 Dr Walter S Davis Blvd, Nashville, TN 37209"
0,"$1,225 - 1,867",Studio - 2 Beds,"6228 Nolensville Pike, Nashville, TN 37211"
0,"$1,599 - 3,633",Studio - 2 Beds,"2500 Bransford Ave, Nashville, TN 37204"
0,"$2,049 - 18,448",Studio - 3 Beds,"4000 Hillsboro Pike, Nashville, TN 37215"
0,"$1,199 - 1,849",1-3 Beds,"4404 Tennessee Ave, Nashville, TN 37209"
0,"$1,229 - 3,019",1-2 Beds,"101 Brixworth Ln, Nashville, TN 37205"
0,"$1,650 - 4,500",Studio - 2 Beds,"505 Church St, Nashville, TN 37219"
0,"$1,199 - 1,759",Studio - 3 Beds,"380 Harding Pl, Nashville, TN 37211"
0,"$1,499 - 3,941",Studio - 3 Beds,"600 11th Ave N, Nashville, TN 37203"
0,"$1,299 - 3,000",Studio - 3 Beds,"7600 Cabot Dr, Nashville, TN 37209"
0,"$1,476 - 2,477",Studio - 3 Beds,"7113 Charlotte Pike, Nashville, TN 37209"
0,"$1,795 - 4,050",Studio - 2 Beds,"805 Lea Ave, Nashville, TN 37203"
0,"$1,222 - 1,764",1-3 Beds,"500 Windsor Green Blvd, Goodlettsville, TN 37072"
0,"$1,445 - 2,899",1-3 Beds,"1445 Eagle View Blvd, Antioch, TN 37013"
0,"$1,224 - 2,303",Studio - 2 Beds,"4042 Shurgard Way, Hermitage, TN 37076"
0,Call for Rent,1-3 Beds,"1015 Gant Hill Dr, Brentwood, TN 37027"
0,"$1,393 - 3,555",Studio - 3 Beds,"2141 Century Farms Pky, Antioch, TN 37013"
0,"$2,199 - 2,569",3 Beds,"1801 Wilder Dr, Antioch, TN 37013"
0,"$1,199 - 1,899",1-3 Beds,"100 Arbor Lake Blvd, Hermitage, TN 37076"
0,"$1,443 - 4,263",1-3 Beds,"7100 Sonya Dr, Bellevue, TN 37209"
0,"$1,349 - 2,199",1-2 Beds,"3000-3002 Franklin Pike, Nashville, TN 37204"
0,"$1,240 - 3,702",Studio - 3 Beds,"610 Sylvan Heights Way, Nashville, TN 37209"
0,"$1,509 - 8,829",Studio - 4 Beds,"1221 Division St, Nashville, TN 37203"
0,"$1,742 - 6,637",1-2 Beds,"1001 4th Ave N, Nashville, TN 37219"
0,"$1,339 - 1,559",Studio - 1 Bed,"3300 West End Ave, Nashville, TN 37203"
