,price,rooms,address
0,"$1,795 - 2,788",Studio - 2 Beds,"5255 Camden Ave, San Jose, CA 95124"
0,"$1,795 - 3,475",Studio - 2 Beds,"4300 The Woods Dr, San Jose, CA 95136"
0,"$2,635 - 3,090",2-3 Beds,"2055 Summerside Dr, San Jose, CA 95122"
0,"$2,595 - 4,025",1-3 Beds,"1543 Ambergrove Dr, San Jose, CA 95131"
0,"$2,820 - 8,695",Studio - 2 Beds,"181 E Santa Clara St, San Jose, CA 95113"
0,"$2,550 - 4,419",Studio - 3 Beds,"6670 Emergent Way, San Jose, CA 95119"
0,"$2,299 - 4,633",Studio - 2 Beds,"171 W Julian St, San Jose, CA 95110"
0,"$3,182 - 6,800",Studio - 3 Beds,"585 S Winchester Blvd, San Jose, CA 95128"
0,"$1,827 - 3,525",Studio - 2 Beds,"700 S Saratoga Ave, San Jose, CA 95129"
0,"$2,655 - 3,905",1-3 Beds,"2275 S Bascom Ave, Campbell, CA 95008"
0,"$894 - 2,335",Studio - 2 Beds,"76 N Winchester Blvd, Santa Clara, CA 95050"
0,"$1,757 - 4,026",Studio - 2 Beds,"201 S 4th St, San Jose, CA 95112"
0,"$2,600",1 Bed,"1255 Babb Ct, San Jose, CA 95125"
0,"$2,521 - 3,985",1-3 Beds,"1045 Coleman Rd, San Jose, CA 95123"
0,"$2,535 - 3,095",1-2 Beds,"1265 N Capitol Ave, San Jose, CA 95132"
0,"$2,570 - 8,972",1-3 Beds,"1 S Market St, San Jose, CA 95113"
0,"$2,050 - 2,400",Studio - 1 Bed,"1919 Fruitdale Ave, San Jose, CA 95128"
0,"$2,229 - 4,200",1-3 Beds,"5822 Charlotte Dr, San Jose, CA 95123"
0,"$2,100 - 2,700",1-3 Beds,"3246 Cortese Cir, San Jose, CA 95127"
0,"$1,850 - 2,703",Studio - 2 Beds,"2550 S King Rd, San Jose, CA 95122"
0,"$2,535 - 9,405",Studio - 3 Beds,"320 Crescent Village Cir, San Jose, CA 95134"
0,"$2,687 - 4,518",Studio - 2 Beds,"868 S 5th St, San Jose, CA 95112"
0,"$2,585 - 5,402",Studio - 2 Beds,"808 W San Carlos St, San Jose, CA 95126"
0,"$2,554 - 4,992",Studio - 2 Beds,"515 Lincoln Ave, San Jose, CA 95126"
0,"$2,745 - 4,370",1-3 Beds,"138 Balbach St, San Jose, CA 95110"
0,"$2,670 - 6,375",Studio - 3 Beds,"130 Stockton Ave, San Jose, CA 95126"
0,"$2,819 - 3,805",1-2 Beds,"5 E Reed St, San Jose, CA 95113"
0,"$2,908 - 5,825",1-3 Beds,"919 S Winchester Blvd, San Jose, CA 95128"
0,"$2,737 - 6,417",Studio - 3 Beds,"1501 Berryessa Rd, San Jose, CA 95133"
0,"$2,580 - 6,060",Studio - 4 Beds,"525 N 7th St, San Jose, CA 95112"
0,"$2,697 - 3,772",Studio - 2 Beds,"477 S Market St, San Jose, CA 95113"
0,"$2,877 - 4,583",1-3 Beds,"1201 Parkmoor Ave, San Jose, CA 95126"
0,"$1,507 - 2,121",Studio - 3 Beds,"787 The Alameda, San Jose, CA 95126"
0,"$1,527 - 2,096",2-4 Beds,"88 E San Carlos St, San Jose, CA 95112"
0,"$1,595 - 2,600",Studio - 2 Beds,"55-75 S 6th St, San Jose, CA 95112"
0,"$2,934 - 7,089",Studio - 3 Beds,"388 Santana Row, San Jose, CA 95128"
0,"$2,756 - 7,068",1-3 Beds,"500 Race St, San Jose, CA 95126"
0,"$2,825 - 3,897",Studio - 2 Beds,"121 E Tasman Dr, San Jose, CA 95134"
0,"$1,500 - 1,700",Studio,"1536 Kerley Dr, San Jose, CA 95112"
0,"$2,782 - 4,500",1-3 Beds,"730-730 Agnew Rd, Santa Clara, CA 95054"
