,price,rooms,address
0,"$2,500 - 6,568",Studio - 2 Beds,"401 N Main St, Santa Ana, CA 92701"
0,"$2,738 - 6,197",Studio - 3 Beds,"2590 Red Hill Ave, Santa Ana, CA 92705"
0,"$2,407 - 4,502",Studio - 3 Beds,"100 S Zoo Ln, Santa Ana, CA 92701"
0,"$2,475 - 3,850",Studio - 2 Beds,"2727 N Mainplace Dr, Santa Ana, CA 92705"
0,"$1,999 - 2,999",Studio - 2 Beds,"2414 N Tustin Ave, Santa Ana, CA 92705"
0,"$2,160 - 2,775",1-2 Beds,"16350 S Harbor Blvd, Santa Ana, CA 92704"
0,"$2,865 - 4,755",Studio - 3 Beds,"1100 Steely, Irvine, CA 92614"
0,"$2,105 - 4,837",Studio - 3 Beds,"15100 Brookhurst St, Westminster, CA 92683"
0,"$2,540 - 4,861",1-3 Beds,"1901 E 1st St, Santa Ana, CA 92705"
0,"$2,222 - 3,750",Studio - 3 Beds,"3630 Westminster Ave, Santa Ana, CA 92703"
0,"$2,058 - 2,956",Studio - 2 Beds,"888 N Main St, Santa Ana, CA 92701"
0,"$2,592 - 5,020",Studio - 3 Beds,"1901 E Dyer Rd, Santa Ana, CA 92705"
0,"$2,799 - 4,035",Studio - 2 Beds,"651 Sunflower Ave, Santa Ana, CA 92707"
0,"$2,753 - 5,342",Studio - 3 Beds,"1951 E Dyer Rd, Santa Ana, CA 92705"
0,"$2,630 - 3,055",2 Beds,"805 W Stevens Ave, Santa Ana, CA 92707"
0,"$2,300 - 3,280",1-2 Beds,"1601 W MacArthur Blvd, Santa Ana, CA 92704"
0,"$2,036 - 3,273",Studio - 3 Beds,"3700 Plaza Dr, Santa Ana, CA 92704"
0,"$2,200 - 2,650",1-2 Beds,"727 S Lyon St, Santa Ana, CA 92705"
0,"$1,970 - 3,035",Studio - 2 Beds,"15123 Brookhurst St, Westminster, CA 92683"
0,"$1,980 - 3,126",Studio - 2 Beds,"200 City Blvd W, Orange, CA 92868"
0,"$1,943 - 2,830",Studio - 2 Beds,"175 N Feldner Rd, Orange, CA 92868"
0,"$2,295 - 6,150",Studio - 2 Beds,"299 N State College Blvd, Orange, CA 92868"
0,"$2,604 - 5,110",Studio - 3 Beds,"1100 Synergy, Irvine, CA 92614"
0,"$2,595 - 5,085",Studio - 3 Beds,"850 W Town And Country Rd, Orange, CA 92868"
0,"$2,530 - 5,875",Studio - 3 Beds,"1000 W Town And Country Rd, Orange, CA 92868"
0,"$2,335 - 2,915",1-2 Beds,"12851 Haster St, Garden Grove, CA 92840"
0,"$2,490 - 5,250",1-2 Beds,"400 Enclave Cir, Costa Mesa, CA 92626"
0,"$2,111 - 7,769",Studio - 2 Beds,"635 W Baker St, Costa Mesa, CA 92626"
0,"$2,245 - 3,860",1-3 Beds,"1000 S Coast Dr, Costa Mesa, CA 92626"
0,"$2,245 - 3,855",1-3 Beds,"655 Baker St, Costa Mesa, CA 92626"
0,"$2,675 - 4,460",1-2 Beds,"3700 S Santa Fe Village Dr, Santa Ana, CA 92704"
0,"$2,695 - 3,925",1-2 Beds,"3600 Aspen Village Way, Santa Ana, CA 92704"
0,"$2,230 - 3,315",1-2 Beds,"1201 E Fairhaven Ave, Santa Ana, CA 92705"
0,"$2,140 - 2,990",1-2 Beds,"300-301 W 2nd St, Santa Ana, CA 92701"
0,"$1,740 - 1,795",Studio,"901 S Harbor Blvd, Santa Ana, CA 92704"
0,"$2,100 - 2,850",1-2 Beds,"3400 S Main St, Santa Ana, CA 92707"
0,"$2,735 - 2,805",2 Beds,"13884-13888 Euclid St, Garden Grove, CA 92843"
0,"$2,549 - 3,700",1-3 Beds,"15701 Tustin Village Way, Tustin, CA 92780"
0,"$2,518 - 5,589",Studio - 3 Beds,"385 S Manchester Ave, Orange, CA 92868"
0,"$2,226 - 4,599",1-2 Beds,"750 Park Center Dr, Santa Ana, CA 92705"
