price,rooms,address
"$1,050 - 3,995",Studio - 3 Beds,"440 Alfred St, Detroit, MI 48201"
"$1,241 - 2,058",Studio - 2 Beds,"2701 Park Ave, Detroit, MI 48201"
"$1,650 - 3,875",Studio - 2 Beds,"1611 Michigan Ave, Detroit, MI 48201"
"$1,495 - 3,015",Studio - 2 Beds,"1405 Rivard St, Detroit, MI 48207"
"$1,326 - 2,285",Studio - 2 Beds,"3439 Woodward Ave, Detroit, MI 48201"
"$1,387 - 5,016",1-4 Beds,"100-300 Riverfront Dr, Detroit, MI 48226"
"$998 - 1,495",Studio - 3 Beds,"8805 Kingswood St, Detroit, MI 48221"
"$1,535 - 2,775",Studio - 2 Beds,"2911 W Grand Blvd, Detroit, MI 48202"
"$1,530 - 4,785",Studio - 2 Beds,"1265 Washington Blvd, Detroit, MI 48226"
"$1,308 - 1,974",1-2 Beds,"4900 Heather Dr, Dearborn, MI 48126"
"$975 - 1,325",1-2 Beds,"21516 Dequindre Rd, Warren, MI 48091"
"$1,229 - 2,249",1-3 Beds,"16500 N Park Dr, Southfield, MI 48075"
"$1,920 - 2,950",1-3 Beds,"3500 E Jefferson Ave, Detroit, MI 48207"
"$1,185 - 2,570",Studio - 2 Beds,"1247 Woodward Ave, Detroit, MI 48226"
"$1,612 - 5,022",Studio - 3 Beds,"1400 W Elizabeth St, Detroit, MI 48216"
"$1,510 - 4,000",Studio - 3 Beds,"7430 2nd Ave, Detroit, MI 48202"
"$1,250",Studio,"119 Garfield St, Detroit, MI 48201"
"$1,400 - 3,065",Studio - 2 Beds,"310 Gratiot Ave, Detroit, MI 48226"
"$2,000 - 4,775",Studio - 1 Bed,"222 3rd Ave, Detroit, MI 48226"
"$1,469 - 2,200",1-2 Beds,"1214-1230 Griswold St, Detroit, MI 48226"
"$900 - 1,375",Studio - 1 Bed,"1600 Antietam Ave, Detroit, MI 48207"
"$1,705 - 2,900",1-3 Beds,"3150 Woodward Ave, Detroit, MI 48201"
"$970 - 1,220",Studio,"28 W Grand River Ave, Detroit, MI 48226"
"$1,225 - 2,170",1-2 Beds,"1431 Washington Blvd, Detroit, MI 48226"
"$899 - 1,075",Studio - 2 Beds,"2170 E Jefferson Ave, Detroit, MI 48207"
"$1,325 - 2,320",1-2 Beds,"555-575 Brush Ave, Detroit, MI 48226"
"$1,450 - 2,515",Studio - 2 Beds,"1544 E Lafayette St, Detroit, MI 48207"
"$1,650 - 2,825",1-2 Beds,"229 Orleans St, Detroit, MI 48207"
"$939 - 3,590",1-4 Beds,"9000 E Jefferson Ave, Detroit, MI 48214"
"$1,200 - 2,300",1-2 Beds,"3101-3111 Woodward Ave, Detroit, MI 48201"
"$1,337 - 2,310",1-2 Beds,"76 W Adams Ave, Detroit, MI 48226"
"$985 - 2,911",Studio - 2 Beds,"1 Lafayette Plaisance St, Detroit, MI 48207"
"$1,200 - 2,275",1-3 Beds,"500 River Place Dr, Detroit, MI 48207"
"$1,195 - 1,495",1-2 Beds,"631 Orleans St, Detroit, MI 48207"
"$2,046 - 4,322",1-3 Beds,"1117 Griswold St, Detroit, MI 48226"
"$870 - 1,495",Studio - 1 Bed,"1511 1st St, Detroit, MI 48226"
"$675 - 2,170",Studio - 3 Beds,"8100-8106 E Jefferson Ave, Detroit, MI 48214"
"$950 - 1,600",Studio - 2 Beds,"4401-4417 2nd Ave, Detroit, MI 48201"
