price,rooms,address
"$1,562 - 4,428",Studio - 3 Beds,"3005 Peachtree Rd NE, Atlanta, GA 30305"
"$1,195 - 2,150",1-2 Beds,"171 Auburn Ave NE, Atlanta, GA 30303"
"$1,209 - 2,489",Studio - 2 Beds,"144 Ponce de Leon Ave, Atlanta, GA 30308"
"$1,269 - 2,279",1-2 Beds,"180 Jackson St NE, Atlanta, GA 30312"
"$1,300 - 2,500",1-3 Beds,"2572 Lenox Rd NE, Atlanta, GA 30324"
"$1,841 - 5,924",Studio - 3 Beds,"22 14th St NW, Atlanta, GA 30309"
"$1,495 - 1,898",1-2 Beds,"3707 Roswell Rd NE, Atlanta, GA 30342"
"$1,772 - 6,241",Studio - 2 Beds,"782 Peachtree St NE, Atlanta, GA 30308"
"$1,399 - 2,499",1-2 Beds,"1660 Peachtree St NW, Atlanta, GA 30309"
"$1,499 - 2,899",Studio - 2 Beds,"60 Perimeter Center Pl NE, Atlanta, GA 30346"
"$1,395 - 7,478",1-3 Beds,"2800 Paces Ferry Rd, Atlanta, GA 30339"
"$1,025 - 1,700",Studio - 2 Beds,"2716 Buford Hwy, Atlanta, GA 30324"
"$1,475 - 3,295",Studio - 3 Beds,"1888 Emery St NW, Atlanta, GA 30318"
"$1,337 - 2,175",Studio - 2 Beds,"290 Martin Luther King Jr Dr SE, Atlanta, GA 30312"
"$1,947 - 8,095",1-3 Beds,"888 Juniper St NE, Atlanta, GA 30309"
"$1,435 - 2,720",Studio - 2 Beds,"1989 Cheshire Bridge Rd NE, Atlanta, GA 30324"
"$1,427 - 10,000",Studio - 2 Beds,"1055 Brady Ave, Atlanta, GA 30318"
"$1,610 - 4,883",Studio - 2 Beds,"65 Irby Ave, Atlanta, GA 30305"
"$1,585 - 7,203",Studio - 3 Beds,"788 Marietta St NW, Atlanta, GA 30318"
"$1,764 - 5,256",Studio - 2 Beds,"525 NE North Ave, Atlanta, GA 30308"
"$1,609 - 6,977",Studio - 3 Beds,"3699 Lenox Rd NE, Atlanta, GA 30305"
"$1,417 - 2,365",Studio - 2 Beds,"900 Joseph E Lowery Blvd, Atlanta, GA 30318"
"$1,609 - 2,324",1-2 Beds,"2960 Flowers Rd S, Atlanta, GA 30341"
"$1,605 - 3,236",Studio - 2 Beds,"3480 Lakeside Dr, Atlanta, GA 30326"
"$1,374 - 3,473",Studio - 3 Beds,"505 Courtland St NE, Atlanta, GA 30308"
"$1,344 - 2,791",Studio - 2 Beds,"1015 Boulevard SE, Atlanta, GA 30312"
"$1,719 - 3,445",Studio - 3 Beds,"3158 Stillhouse Creek Dr, Atlanta, GA 30339"
"$1,558 - 3,216",Studio - 2 Beds,"101 High St, Atlanta, GA 30346"
"$1,532 - 3,995",Studio - 2 Beds,"665 Auburn Ave, Atlanta, GA 30312"
"$1,742 - 4,007",Studio - 3 Beds,"1315 Northwest Dr, Atlanta, GA 30318"
"$1,777 - 19,717",1-3 Beds,"2180 Shadowood Pky, Atlanta, GA 30339"
"$1,675 - 2,499",1-2 Beds,"2000 James Jackson Pky, Atlanta, GA 30318"
"$1,494 - 2,685",Studio - 2 Beds,"2020 Powers Ferry Rd SE, Atlanta, GA 30339"
"$2,020 - 25,855",1-3 Beds,"1000 Park Ave NE, Atlanta, GA 30326"
"$1,460 - 3,846",Studio - 2 Beds,"369 Centennial Olympic Park Dr NW, Atlanta, GA 30313"
"$1,664 - 6,842",Studio - 3 Beds,"1140 Spring St NW, Atlanta, GA 30309"
"$1,257 - 1,941",1-2 Beds,"7227 NE Peachtree Dunwoody Rd, Atlanta, GA 30328"
"$1,415 - 2,653",Studio - 2 Beds,"707 Park Ave NE, Atlanta, GA 30326"
"$1,172 - 3,310",1-2 Beds,"3078 Clairmont Rd NE, Atlanta, GA 30329"
"$1,530 - 2,980",1-2 Beds,"699 Ponce De Leon Ave NE, Atlanta, GA 30308"
"$1,562 - 4,428",Studio - 3 Beds,"3005 Peachtree Rd NE, Atlanta, GA 30305"
"$1,195 - 2,150",1-2 Beds,"171 Auburn Ave NE, Atlanta, GA 30303"
"$1,209 - 2,489",Studio - 2 Beds,"144 Ponce de Leon Ave, Atlanta, GA 30308"
"$1,269 - 2,279",1-2 Beds,"180 Jackson St NE, Atlanta, GA 30312"
"$1,300 - 2,500",1-3 Beds,"2572 Lenox Rd NE, Atlanta, GA 30324"
"$1,841 - 5,924",Studio - 3 Beds,"22 14th St NW, Atlanta, GA 30309"
"$1,495 - 1,898",1-2 Beds,"3707 Roswell Rd NE, Atlanta, GA 30342"
"$1,772 - 6,241",Studio - 2 Beds,"782 Peachtree St NE, Atlanta, GA 30308"
"$1,399 - 2,499",1-2 Beds,"1660 Peachtree St NW, Atlanta, GA 30309"
"$1,499 - 2,899",Studio - 2 Beds,"60 Perimeter Center Pl NE, Atlanta, GA 30346"
"$1,395 - 7,478",1-3 Beds,"2800 Paces Ferry Rd, Atlanta, GA 30339"
"$1,025 - 1,700",Studio - 2 Beds,"2716 Buford Hwy, Atlanta, GA 30324"
"$1,475 - 3,295",Studio - 3 Beds,"1888 Emery St NW, Atlanta, GA 30318"
"$1,337 - 2,175",Studio - 2 Beds,"290 Martin Luther King Jr Dr SE, Atlanta, GA 30312"
"$1,947 - 8,095",1-3 Beds,"888 Juniper St NE, Atlanta, GA 30309"
"$1,435 - 2,720",Studio - 2 Beds,"1989 Cheshire Bridge Rd NE, Atlanta, GA 30324"
"$1,427 - 10,000",Studio - 2 Beds,"1055 Brady Ave, Atlanta, GA 30318"
"$1,610 - 4,883",Studio - 2 Beds,"65 Irby Ave, Atlanta, GA 30305"
"$1,585 - 7,203",Studio - 3 Beds,"788 Marietta St NW, Atlanta, GA 30318"
"$1,764 - 5,256",Studio - 2 Beds,"525 NE North Ave, Atlanta, GA 30308"
"$1,609 - 6,977",Studio - 3 Beds,"3699 Lenox Rd NE, Atlanta, GA 30305"
"$1,417 - 2,365",Studio - 2 Beds,"900 Joseph E Lowery Blvd, Atlanta, GA 30318"
"$1,609 - 2,324",1-2 Beds,"2960 Flowers Rd S, Atlanta, GA 30341"
"$1,605 - 3,236",Studio - 2 Beds,"3480 Lakeside Dr, Atlanta, GA 30326"
"$1,374 - 3,473",Studio - 3 Beds,"505 Courtland St NE, Atlanta, GA 30308"
"$1,344 - 2,791",Studio - 2 Beds,"1015 Boulevard SE, Atlanta, GA 30312"
"$1,719 - 3,445",Studio - 3 Beds,"3158 Stillhouse Creek Dr, Atlanta, GA 30339"
"$1,558 - 3,216",Studio - 2 Beds,"101 High St, Atlanta, GA 30346"
"$1,532 - 3,995",Studio - 2 Beds,"665 Auburn Ave, Atlanta, GA 30312"
"$1,742 - 4,007",Studio - 3 Beds,"1315 Northwest Dr, Atlanta, GA 30318"
"$1,777 - 19,717",1-3 Beds,"2180 Shadowood Pky, Atlanta, GA 30339"
"$1,675 - 2,499",1-2 Beds,"2000 James Jackson Pky, Atlanta, GA 30318"
"$1,494 - 2,685",Studio - 2 Beds,"2020 Powers Ferry Rd SE, Atlanta, GA 30339"
"$2,020 - 25,855",1-3 Beds,"1000 Park Ave NE, Atlanta, GA 30326"
"$1,432 - 2,279",1-2 Beds,"2075 Lavista Rd NE, Atlanta, GA 30329"
"$1,395 - 6,595",1-3 Beds,"500 Briarvista Way, Atlanta, GA 30329"
"$1,200 - 2,768",Studio - 3 Beds,"3200 Lenox Rd NE, Atlanta, GA 30324"
"$1,440 - 4,795",1-3 Beds,"1020 Lenox Park Blvd NE, Atlanta, GA 30319"
"$1,200 - 1,675",1-3 Beds,"2001 Sylvan Rd, Atlanta, GA 30310"
"$1,381 - 4,320",1-2 Beds,"391 17th St NW, Atlanta, GA 30363"
"$1,249 - 1,748",1-2 Beds,"200 Vineyard Walk SE, Atlanta, GA 30316"
Call for Rent,1-2 Beds,"934 Garden Walk Blvd, Atlanta, GA 30349"
"$1,295 - 4,090",Studio - 2 Beds,"305 Centennial Olympic Park Dr NW, Atlanta, GA 30313"
"$1,405 - 2,710",1-2 Beds,"6025 River View Rd SE, Mableton, GA 30126"
"$1,250 - 1,750",1-3 Beds,"2929 Landrum Dr SW, Atlanta, GA 30311"
"$1,380 - 6,095",Studio - 3 Beds,"4403 Northside Pky NW, Atlanta, GA 30327"
"$1,395 - 1,450",1-3 Beds,"6701 Winterbrook Ct, Atlanta, GA 30360"
"$1,282 - 2,756",1-3 Beds,"1104 Westchase St, Atlanta, GA 30336"
"$1,035 - 1,989",1-3 Beds,"501 Northridge Rd, Atlanta, GA 30350"
"$1,789 - 3,160",1-2 Beds,"720 Ralph McGill Blvd NE, Atlanta, GA 30312"
"$1,211 - 3,240",1-3 Beds,"100 Akers Ridge Dr, Atlanta, GA 30339"
"$1,469 - 4,751",1-2 Beds,"1700 Northside Dr NW, Atlanta, GA 30318"
"$1,279 - 2,949",1-3 Beds,"5675 Roswell Rd, Atlanta, GA 30342"
"$1,425 - 5,975",1-3 Beds,"4120 Peachtree Rd NE, Atlanta, GA 30319"
