price,rooms,address
"$1,399 - 1,799",1-2 Beds,"8800 Boardwalk Trail Dr, Tampa, FL 33637"
"$1,525 - 2,790",1-3 Beds,"10011 Balaye Run Dr, Tampa, FL 33619"
"$1,475 - 2,334",Studio - 2 Beds,"4003 S Westshore Blvd, Tampa, FL 33611"
"$1,450 - 1,795",1-2 Beds,"3132 W Lambright St, Tampa, FL 33614"
"$1,614 - 2,028",1-2 Beds,"5207Belle Chase Cir, Tampa, FL 33634"
"$1,733 - 1,945",2-3 Beds,"11050 Le Jardin Cir, Tampa, FL 33617"
"$2,304 - 11,279",Studio - 3 Beds,"3730 Midtown Dr, Tampa, FL 33607"
"$3,200 - 7,075",Studio - 3 Beds,"300 W Tyler St, Tampa, FL 33602"
"$2,605 - 7,615",1-3 Beds,"3015 N Rocky Point Dr E, Tampa, FL 33607"
"$2,255 - 4,703",Studio - 2 Beds,"601 N 12th St, Tampa, FL 33602"
"$1,699 - 2,694",1-2 Beds,"4502 W McCoy St, Tampa, FL 33616"
"$1,435 - 3,270",Studio - 3 Beds,"1116 W Carmen St, Tampa, FL 33606"
"$1,865 - 4,155",1-2 Beds,"1250 E Madison St, Tampa, FL 33602"
"$2,030 - 5,800",Studio - 3 Beds,"5450 Bay Center Dr, Tampa, FL 33609"
"$1,876 - 5,644",Studio - 3 Beds,"101 N Meridian Ave, Tampa, FL 33602"
"$1,705 - 2,245",1-2 Beds,"7970 Tampa Palms Blvd, Tampa, FL 33647"
"$5,212",3-4 Beds,"3421 W Arch St, Tampa, FL 33607"
"$1,911 - 4,750",Studio - 3 Beds,"160 W Tyler St, Tampa, FL 33602"
"$1,495 - 2,815",1-4 Beds,"18002 Richmond Pl Dr, Tampa, FL 33647"
"$1,650 - 2,995",Studio - 2 Beds,"611 S Magnolia Ave, Tampa, FL 33606"
"$1,960 - 3,435",1-3 Beds,"4950 W Prescott St, Tampa, FL 33616"
"$1,648 - 3,125",Studio - 3 Beds,"2409 E 2nd Ave, Ybor City, FL 33605"
"$1,699 - 3,299",1-3 Beds,"15081 Cypress Cay Blvd, Lutz, FL 33559"
"$1,733 - 1,788",2 Beds,"11301 N 53rd St, Temple Terrace, FL 33617"
"$1,641 - 2,511",1-2 Beds,"14854 Alcorine Pl, Lutz, FL 33559"
"$1,665 - 2,755",1-3 Beds,"14976 Osprey Nest Loop, Lutz, FL 33559"
"$1,370 - 2,050",1-2 Beds,"4949 Marbrisa Dr, Tampa, FL 33624"
"$1,615 - 2,415",1-3 Beds,"1820 Crosstown Club Pl, Tampa, FL 33619"
"$1,369 - 1,998",1-3 Beds,"11500 Summit West Blvd, Tampa, FL 33617"
"$1,999 - 4,688",Studio - 3 Beds,"4310 W Spruce St, Tampa, FL 33607"
"$1,511 - 4,276",Studio - 3 Beds,"1702 W Cleveland St, Tampa, FL 33606"
"$1,763 - 6,289",Studio - 3 Beds,"112 N 12th St, Tampa, FL 33602"
"$1,250 - 1,740",1-2 Beds,"14555 Bruce B Downs Blvd, Tampa, FL 33613"
"$1,875 - 2,666",1-3 Beds,"12780 Olive Jones Rd, Tampa, FL 33625"
$809 - 889,3-4 Beds,"5610 Graduate Cir, Tampa, FL 33617"
"$1,502 - 3,058",Studio - 2 Beds,"6301 S Westshore Blvd, Tampa, FL 33616"
"$1,008 - 1,967",Studio - 2 Beds,"6400 Markstown Dr, Tampa, FL 33617"
"$1,500 - 1,835",1-2 Beds,"6423 N Armenia Ave, Tampa, FL 33604"
"$1,515 - 2,995",1-4 Beds,"16616 Palm Royal Dr, Tampa, FL 33647"
"$1,809 - 2,659",1-3 Beds,"14201 Cyber Pl, Tampa, FL 33613"
"$1,399 - 1,799",1-2 Beds,"8800 Boardwalk Trail Dr, Tampa, FL 33637"
"$1,525 - 2,790",1-3 Beds,"10011 Balaye Run Dr, Tampa, FL 33619"
"$1,475 - 2,334",Studio - 2 Beds,"4003 S Westshore Blvd, Tampa, FL 33611"
"$1,450 - 1,795",1-2 Beds,"3132 W Lambright St, Tampa, FL 33614"
"$1,614 - 2,028",1-2 Beds,"5207Belle Chase Cir, Tampa, FL 33634"
"$1,733 - 1,945",2-3 Beds,"11050 Le Jardin Cir, Tampa, FL 33617"
"$2,304 - 11,279",Studio - 3 Beds,"3730 Midtown Dr, Tampa, FL 33607"
"$3,200 - 7,075",Studio - 3 Beds,"300 W Tyler St, Tampa, FL 33602"
"$2,605 - 7,615",1-3 Beds,"3015 N Rocky Point Dr E, Tampa, FL 33607"
"$2,255 - 4,703",Studio - 2 Beds,"601 N 12th St, Tampa, FL 33602"
"$1,699 - 2,694",1-2 Beds,"4502 W McCoy St, Tampa, FL 33616"
"$1,435 - 3,270",Studio - 3 Beds,"1116 W Carmen St, Tampa, FL 33606"
"$1,865 - 4,155",1-2 Beds,"1250 E Madison St, Tampa, FL 33602"
"$2,030 - 5,800",Studio - 3 Beds,"5450 Bay Center Dr, Tampa, FL 33609"
"$1,876 - 5,644",Studio - 3 Beds,"101 N Meridian Ave, Tampa, FL 33602"
"$1,705 - 2,245",1-2 Beds,"7970 Tampa Palms Blvd, Tampa, FL 33647"
"$5,212",3-4 Beds,"3421 W Arch St, Tampa, FL 33607"
"$1,911 - 4,750",Studio - 3 Beds,"160 W Tyler St, Tampa, FL 33602"
"$1,495 - 2,815",1-4 Beds,"18002 Richmond Pl Dr, Tampa, FL 33647"
"$1,650 - 2,995",Studio - 2 Beds,"611 S Magnolia Ave, Tampa, FL 33606"
"$1,960 - 3,435",1-3 Beds,"4950 W Prescott St, Tampa, FL 33616"
"$1,648 - 3,125",Studio - 3 Beds,"2409 E 2nd Ave, Ybor City, FL 33605"
"$1,699 - 3,299",1-3 Beds,"15081 Cypress Cay Blvd, Lutz, FL 33559"
"$1,733 - 1,788",2 Beds,"11301 N 53rd St, Temple Terrace, FL 33617"
"$1,641 - 2,511",1-2 Beds,"14854 Alcorine Pl, Lutz, FL 33559"
"$1,665 - 2,755",1-3 Beds,"14976 Osprey Nest Loop, Lutz, FL 33559"
"$1,370 - 2,050",1-2 Beds,"4949 Marbrisa Dr, Tampa, FL 33624"
"$1,615 - 2,415",1-3 Beds,"1820 Crosstown Club Pl, Tampa, FL 33619"
"$1,369 - 1,998",1-3 Beds,"11500 Summit West Blvd, Tampa, FL 33617"
"$1,999 - 4,688",Studio - 3 Beds,"4310 W Spruce St, Tampa, FL 33607"
"$1,511 - 4,276",Studio - 3 Beds,"1702 W Cleveland St, Tampa, FL 33606"
"$1,763 - 6,289",Studio - 3 Beds,"112 N 12th St, Tampa, FL 33602"
"$1,250 - 1,740",1-2 Beds,"14555 Bruce B Downs Blvd, Tampa, FL 33613"
"$1,875 - 2,666",1-3 Beds,"12780 Olive Jones Rd, Tampa, FL 33625"
$809 - 889,3-4 Beds,"5610 Graduate Cir, Tampa, FL 33617"
"$1,502 - 3,058",Studio - 2 Beds,"6301 S Westshore Blvd, Tampa, FL 33616"
"$1,008 - 1,967",Studio - 2 Beds,"6400 Markstown Dr, Tampa, FL 33617"
"$1,500 - 1,835",1-2 Beds,"6423 N Armenia Ave, Tampa, FL 33604"
"$1,515 - 2,995",1-4 Beds,"16616 Palm Royal Dr, Tampa, FL 33647"
"$1,809 - 2,659",1-3 Beds,"14201 Cyber Pl, Tampa, FL 33613"
